Earliest Specimen Collection Date,County,Deaths,Deaths (7-Day Average),7-Day Death Count,7-Day Death Rate,Date/Time Updated
2020-08-29 00:00:00,Statewide,2,5.29,37,0.48,2022-04-25 11:33:14
2020-08-30 00:00:00,Statewide,0,5.14,36,0.47,2022-04-25 11:33:14
2020-08-31 00:00:00,Statewide,7,5.29,37,0.48,2022-04-25 11:33:14
2020-09-01 00:00:00,Statewide,9,5.86,41,0.54,2022-04-25 11:33:14
2020-09-02 00:00:00,Statewide,8,5.71,40,0.52,2022-04-25 11:33:14
2020-09-03 00:00:00,Statewide,3,4.86,34,0.44,2022-04-25 11:33:14
2020-09-04 00:00:00,Statewide,4,4.71,33,0.43,2022-04-25 11:33:14
2020-09-05 00:00:00,Statewide,3,4.86,34,0.44,2022-04-25 11:33:14
2020-09-06 00:00:00,Statewide,2,5.14,36,0.47,2022-04-25 11:33:14
2020-09-07 00:00:00,Statewide,7,5.14,36,0.47,2022-04-25 11:33:14
2020-09-08 00:00:00,Statewide,4,4.43,31,0.4,2022-04-25 11:33:14
2020-09-09 00:00:00,Statewide,6,4.14,29,0.38,2022-04-25 11:33:14
2020-09-10 00:00:00,Statewide,7,4.71,33,0.43,2022-04-25 11:33:14
2020-09-11 00:00:00,Statewide,6,5,35,0.46,2022-04-25 11:33:14
2020-09-12 00:00:00,Statewide,2,4.86,34,0.44,2022-04-25 11:33:14
2020-09-13 00:00:00,Statewide,5,5.29,37,0.48,2022-04-25 11:33:14
2020-09-14 00:00:00,Statewide,14,6.29,44,0.57,2022-04-25 11:33:14
2020-09-15 00:00:00,Statewide,11,7.29,51,0.67,2022-04-25 11:33:14
2020-09-16 00:00:00,Statewide,7,7.43,52,0.68,2022-04-25 11:33:14
2020-09-17 00:00:00,Statewide,9,7.71,54,0.71,2022-04-25 11:33:14
2020-09-18 00:00:00,Statewide,12,8.57,60,0.78,2022-04-25 11:33:14
2020-09-19 00:00:00,Statewide,3,8.71,61,0.8,2022-04-25 11:33:14
2020-09-20 00:00:00,Statewide,4,8.57,60,0.78,2022-04-25 11:33:14
2020-09-21 00:00:00,Statewide,9,7.86,55,0.72,2022-04-25 11:33:14
2020-09-22 00:00:00,Statewide,9,7.57,53,0.69,2022-04-25 11:33:14
2020-09-23 00:00:00,Statewide,8,7.71,54,0.71,2022-04-25 11:33:14
2020-09-24 00:00:00,Statewide,5,7.14,50,0.65,2022-04-25 11:33:14
2020-09-25 00:00:00,Statewide,7,6.43,45,0.59,2022-04-25 11:33:14
2020-09-26 00:00:00,Statewide,7,7,49,0.64,2022-04-25 11:33:14
2020-09-27 00:00:00,Statewide,1,6.57,46,0.6,2022-04-25 11:33:14
2020-09-28 00:00:00,Statewide,10,6.71,47,0.61,2022-04-25 11:33:14
2020-09-29 00:00:00,Statewide,10,6.86,48,0.63,2022-04-25 11:33:14
2020-09-30 00:00:00,Statewide,3,6.14,43,0.56,2022-04-25 11:33:14
2020-10-01 00:00:00,Statewide,6,6.29,44,0.57,2022-04-25 11:33:14
2020-10-02 00:00:00,Statewide,7,6.29,44,0.57,2022-04-25 11:33:14
2020-10-03 00:00:00,Statewide,6,6.14,43,0.56,2022-04-25 11:33:14
2020-10-04 00:00:00,Statewide,1,6.14,43,0.56,2022-04-25 11:33:14
2020-10-05 00:00:00,Statewide,10,6.14,43,0.56,2022-04-25 11:33:14
2020-10-06 00:00:00,Statewide,9,6,42,0.55,2022-04-25 11:33:14
2020-10-07 00:00:00,Statewide,12,7.29,51,0.67,2022-04-25 11:33:14
2020-10-08 00:00:00,Statewide,11,8,56,0.73,2022-04-25 11:33:14
2020-10-09 00:00:00,Statewide,9,8.29,58,0.76,2022-04-25 11:33:14
2020-10-10 00:00:00,Statewide,8,8.57,60,0.78,2022-04-25 11:33:14
2020-10-11 00:00:00,Statewide,6,9.29,65,0.85,2022-04-25 11:33:14
2020-10-12 00:00:00,Statewide,26,11.57,81,1.06,2022-04-25 11:33:14
2020-10-13 00:00:00,Statewide,12,12,84,1.1,2022-04-25 11:33:14
2020-10-14 00:00:00,Statewide,7,11.29,79,1.03,2022-04-25 11:33:14
2020-10-15 00:00:00,Statewide,7,10.71,75,0.98,2022-04-25 11:33:14
2020-10-16 00:00:00,Statewide,4,10,70,0.91,2022-04-25 11:33:14
2020-10-17 00:00:00,Statewide,7,9.86,69,0.9,2022-04-25 11:33:14
2020-10-18 00:00:00,Statewide,11,10.57,74,0.97,2022-04-25 11:33:14
2020-10-19 00:00:00,Statewide,13,8.71,61,0.8,2022-04-25 11:33:14
2020-10-20 00:00:00,Statewide,15,9.14,64,0.84,2022-04-25 11:33:14
2020-10-21 00:00:00,Statewide,6,9,63,0.82,2022-04-25 11:33:14
2020-10-22 00:00:00,Statewide,14,10,70,0.91,2022-04-25 11:33:14
2020-10-23 00:00:00,Statewide,16,11.71,82,1.07,2022-04-25 11:33:14
2020-10-24 00:00:00,Statewide,11,12.29,86,1.12,2022-04-25 11:33:14
2020-10-25 00:00:00,Statewide,9,12,84,1.1,2022-04-25 11:33:14
2020-10-26 00:00:00,Statewide,18,12.71,89,1.16,2022-04-25 11:33:14
2020-10-27 00:00:00,Statewide,18,13.14,92,1.2,2022-04-25 11:33:14
2020-10-28 00:00:00,Statewide,5,13,91,1.19,2022-04-25 11:33:14
2020-10-29 00:00:00,Statewide,17,13.43,94,1.23,2022-04-25 11:33:14
2020-10-30 00:00:00,Statewide,11,12.71,89,1.16,2022-04-25 11:33:14
2020-10-31 00:00:00,Statewide,9,12.43,87,1.14,2022-04-25 11:33:14
2020-11-01 00:00:00,Statewide,9,12.43,87,1.14,2022-04-25 11:33:14
2020-11-02 00:00:00,Statewide,11,11.43,80,1.04,2022-04-25 11:33:14
2020-11-03 00:00:00,Statewide,17,11.29,79,1.03,2022-04-25 11:33:14
2020-11-04 00:00:00,Statewide,30,14.86,104,1.36,2022-04-25 11:33:14
2020-11-05 00:00:00,Statewide,20,15.29,107,1.4,2022-04-25 11:33:14
2020-11-06 00:00:00,Statewide,15,15.86,111,1.45,2022-04-25 11:33:14
